"System Name","Name","Gravity","Distance to Arrival (LS)","Distance (LY)","Type","Earth Masses","Parents","Radius","Reserve Level","Rings","Subtype","Volcanism"
"Sol","Enceladus","0.0115642908126848","4773.843904","0","Planet","0.000018","[{""id64"":""468374371723905387"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","252.1","","","Icy body","Major Water Geysers"
"Sol","Tethys","0.014895482818395","4772.806758","0","Planet","0.000103","[{""id64"":""468374371723905387"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","531.1","","","Icy body","Major Water Geysers"
"Sol","Iapetus","0.0227691444886306","4779.317239","0","Planet","0.000302","[{""id64"":""468374371723905387"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","734.5","","","Rocky body",""
"Sol","Umbriel","0.0233292546140512","9141.847627","0","Planet","0.000196","[{""id64"":""792633544894581099"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","584.7","","","Icy body",""
"Sol","Haumea","0.0697783216070154","25234.046795","0","Planet","0.00066","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","620","","","Icy body",""
"Sol","Quaoar","0.00825848883450596","21075.632027","0","Planet","0.000234","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","1074","","","Rocky Ice world",""
"Sol","(225088) 2007 OR10","0.0107989191393902","24198.039606","0","Planet","0.000435","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","1280","","","Icy body",""
"Sol","Sedna","0.0178711124706842","290891.35868","0","Planet","0.000435","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","995","","","Icy body",""
"Sol","Persephone","1.95253665748955","484260.753908","0","Planet","9.9997","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","14427.148","","","Icy body","Water Geysers"
"Sol","Mars","0.377025390027531","712.73385","0","Planet","0.107","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","3396.2","","","Earth-like world",""
"Sol","Io","0.183781380646477","2673.158359","0","Planet","0.015","[{""id64"":""252201589610121579"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","1821.3","","","Rocky body","Major Rocky Magma"
"Sol","Titan","0.13779840929948","4771.964911","0","Planet","0.022499","[{""id64"":""468374371723905387"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","2576","","","Rocky Ice world","Minor Water Magma"
"Sol","Uranus","0.9045670439482","9142.53439","0","Planet","14.539695","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","25559","Common","[{""inner_radius"":30890000,""mass"":171570,""name"":""ZetaCC Ring"",""outer_radius"":103000000,""type"":""Icy""}]","Class I gas giant",""
"Sol","Ariel","0.027475374732334","9143.064211","0","Planet","0.000227","[{""id64"":""792633544894581099"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","578.9","","","Rocky body",""
"Sol","Titania","0.0386146629958193","9142.869248","0","Planet","0.000591","[{""id64"":""792633544894581099"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","788.4","","","Icy body",""
"Sol","Oberon","0.0353810543489344","9141.574115","0","Planet","0.000505","[{""id64"":""792633544894581099"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","761.4","","","Rocky body",""
"Sol","Triton","0.0796530029570715","14916.242235","0","Planet","0.00359","[{""id64"":""1008806327008364907"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","1353.4","","","Icy body",""
"Sol","(307261) 2002 MS4","0.0130444580401754","18903.198584","0","Planet","0.00028","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","934","","","Icy body",""
"Sol","Hi'iaka","0.00475833588253288","25233.949158","0","Planet","0.000003","[{""id64"":""1405123094216968555"",""subtype"":""Icy body"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","160","","","Icy body",""
"Sol","Eris","0.0841315386968492","39125.757158","0","Planet","0.0028","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","1163","","","Icy body",""
"Sol","Venus","0.904402467625166","359.558318","0","Planet","0.815","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","6051.8","","","High metal content world","Minor Rocky Magma"
"Sol","Earth","0.999057713877842","505.526735","0","Planet","1","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","6378.1","","","Earth-like world","Rocky Magma"
"Sol","Moon","0.165513612725604","504.36639","0","Planet","0.012304","[{""id64"":""108086401534265707"",""subtype"":""Earth-like world"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","1738.14","","","Rocky body",""
"Sol","Europa","0.133461405118793","2673.455485","0","Planet","0.008","[{""id64"":""252201589610121579"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","1560.8","","","Icy body","Major Water Magma"
"Sol","Ganymede","0.145347608850821","2671.719056","0","Planet","0.024814","[{""id64"":""252201589610121579"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","2634.1","","","Rocky body",""
"Sol","Dione","0.0236434179667584","4772.419469","0","Planet","0.000183","[{""id64"":""468374371723905387"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","561.4","","","Icy body","Water Geysers"
"Sol","Rhea","0.026899255633731","4775.069806","0","Planet","0.000386","[{""id64"":""468374371723905387"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","763.8","","","Icy body",""
"Sol","Neptune","1.13654491689609","14916.15469","0","Planet","17.149633","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","24764","Common","[{""inner_radius"":40900000,""mass"":29009,""name"":""Galle Ring"",""outer_radius"":57200000,""signal_count"":1,""signals"":[{""count"":1,""name"":""Void Opal""}],""signals_updated_at"":""2025-10-19 07:37:25+00"",""type"":""Icy""}]","Class I gas giant",""
"Sol","Pluto","0.0666455592943816","20567.62586","0","Planet","0.00218","[{""id64"":""1116892718065256811"",""type"":""Null""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","1153","","","Rocky body","Minor Methane Magma"
"Sol","Vanth","0.00357285612317732","15972.243695","0","Planet","0.000007","[{""id64"":""1224979109122148715"",""subtype"":""Rocky Ice world"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","276","","","Rocky Ice world",""
"Sol","Jupiter","2.52703803405731","2673.156904","0","Planet","317.799622","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","71492","Common","[{""inner_radius"":92000000,""mass"":10000,""name"":""Jupiter Halo Ring"",""outer_radius"":182000000,""type"":""Rocky""}]","Class I gas giant",""
"Sol","90482 Orcus","0.00518721321505047","15972.273629","0","Planet","0.000107","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","917","","","Rocky Ice world",""
"Sol","Makemake","0.05850943203834","25418.347294","0","Planet","0.000736","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","715","","","Icy body",""
"Sol","Mercury","0.375546038543897","232.049354","0","Planet","0.055","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","2439.7","","","Metal-rich body",""
"Sol","Callisto","0.12606852248394","2677.267887","0","Planet","0.018016","[{""id64"":""252201589610121579"",""subtype"":""Class I gas giant"",""type"":""Planet""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","2410","","","Rocky body",""
"Sol","Saturn","1.11101315386969","4773.505081","0","Planet","95.159035","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","59000","Common","[{""inner_radius"":74500000,""mass"":58071,""name"":""D Ring"",""outer_radius"":140180000,""type"":""Icy""}]","Class I gas giant",""
"Sol","Charon","0.028214744570205","20567.639882","0","Planet","0.000253","[{""id64"":""1116892718065256811"",""type"":""Null""},{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","603.5","","","Rocky body",""
"Sol","Salacia","0.156025593963495","18618.369237","0","Planet","0.0028","[{""id64"":10477373803,""subtype"":""G (White-Yellow) Star"",""type"":""Star""}]","854","","","Rocky Ice world",""
